What is the scope of AWS Identity and Access Management (IAM)?,"IAM is a global/universal service, not regional, and is used to manage access to the AWS Console."
What type of access key is assigned to new IAM users for programmatic access?,New users are assigned an Access Key ID and a Secret Access Key.
A collection of IAM users under one set of permissions is known as a(n) _____.,Group
"In IAM, what is a 'Policy'?","A document that defines one or more permissions and can be attached to a user, group, or role."
"Which EC2 pricing option involves purchasing unused capacity at a significant discount, with the risk of interruption?",Spot instances.
Which EC2 pricing option is the most expensive and provides a physical server for compliance or regulatory needs?,Dedicated hosts.
Which EBS volume type is designed as a Storage Area Network (SAN) in the cloud with the highest performance and sub-millisecond latency?,Provisioned IOPS SSD (io2 Block Express).
Which two EBS volume types cannot be used as a boot volume?,Throughput Optimized HDD (st1) and Cold HDD (sc1).
What is the primary purpose of an Elastic Load Balancer (ELB)?,To distribute network traffic across a group of servers.
At which layer of the OSI model does an Application Load Balancer (ALB) operate?,"Layer 7 (Application Layer), handling HTTP and HTTPS traffic."
What does a 504 Gateway Timeout error from an Elastic Load Balancer typically indicate?,"The target, such as an EC2 instance, failed to respond to the load balancer's request."
What is the purpose of the X-Forwarded-For header when using a load balancer?,It identifies the originating IPv4 address of a client connecting through the load balancer.
"In Route 53, a(n) _____ record is used to route traffic to an AWS resource like a load balancer without using an IP address.",Alias
What is the function of an RDS Multi-AZ deployment?,It creates an exact copy of a database in another availability zone for disaster recovery and automatic failover.
What is the primary use case for an RDS Read Replica?,"To offload read traffic from the primary database, improving performance for read-heavy workloads."
How can you encrypt an unencrypted RDS database?,"Take a snapshot of the unencrypted database, create an encrypted copy of the snapshot, and then restore the database from the encrypted snapshot."
What service acts as a connection cache to pool and share database connections for improved scalability and efficiency?,RDS Proxy.
Which ElastiCache engine is a more sophisticated solution that supports sorting and ranking data for complex data types?,Redis.
What is the key difference between ElastiCache for Redis and MemoryDB for Redis?,"MemoryDB provides ultra-fast performance and can be used as a primary, durable, multi-AZ database, whereas ElastiCache is primarily a cache."
"For storing sensitive credentials like database passwords that require automatic rotation, which service should be used?",AWS Secrets Manager.
"For storing less-sensitive configuration data like environment variables that are managed manually, which service is appropriate?",AWS Systems Manager Parameter Store.
"What AWS service automates the process of creating, maintaining, and distributing server images (AMIs)?",EC2 Image Builder.
How do you use an Amazon Machine Image (AMI) in a different region from where it was created?,You must create a copy of the AMI in the target region.
What is the maximum size of a single object that can be stored in an Amazon S3 bucket?,5 Terabytes (TB).
What must be true about the naming convention for S3 buckets?,S3 bucket names must be globally unique.
The S3 _____ storage class automatically moves data between frequent and infrequent access tiers to optimize costs for unknown access patterns.,Intelligent-Tiering
"Which S3 storage class is stored in only one Availability Zone and is suitable for non-critical, infrequently accessed data?",S3 One Zone-Infrequent Access (S3 One Zone-IA).
Which S3 feature allows you to define rules to automatically transition objects to cheaper storage tiers or delete them after a set time?,Lifecycle Management.
What are the three types of server-side encryption (SSE) available for S3?,"SSE-S3 (S3-managed keys), SSE-KMS (KMS-managed keys), and SSE-C (customer-provided keys)."
How can you enforce that all objects uploaded to an S3 bucket are encrypted?,By using a bucket policy that denies requests without the `x-amz-server-side-encryption` header.
What is an Origin Access Identity (OAI) used for in CloudFront?,"It's a special CloudFront user that restricts direct access to an S3 bucket, ensuring content is only served through CloudFront."
What is the purpose of Amazon Athena?,"It's a serverless, interactive query service that allows you to analyze data in S3 using standard SQL."
What does a 429 status code from a Lambda function indicate?,It indicates that the concurrent execution limit for the region has been reached (throttling).
"What is the name for the latest, mutable version of a Lambda function?",$LATEST.
Which AWS service provides a visual interface to coordinate components of distributed applications and serverless functions into workflows?,AWS Step Functions.
What is the difference between Standard and Express workflows in AWS Step Functions?,"Standard workflows are long-running (up to 1 year) and durable, while Express workflows are for high-volume, short-duration event processing workloads."
"Where can a Lambda function store temporary, non-persistent files during its execution?","In the `/tmp` directory, which is a temporary file system in the execution environment."
What is the purpose of Lambda Layers?,"To manage and share common dependencies, libraries, or custom runtimes across multiple Lambda functions."
"In Lambda, what are the two main features used for handling invocation errors for asynchronous functions?",Dead-Letter Queues (DLQs) and Lambda Destinations.
What is the purpose of API Gateway Caching?,"To cache endpoint responses, reducing the number of calls made to the backend and improving latency for frequent requests."
What AWS service helps developers analyze and debug distributed applications by providing a visual map of the application's components and tracking requests?,AWS X-Ray.
"To use AWS X-Ray with an application, you must install the X-Ray _____ on the host and use the X-Ray _____ in your application code.",agent (daemon); SDK
What is the difference between an 'Eventually Consistent Read' and a 'Strongly Consistent Read' in DynamoDB?,"A Strongly Consistent Read returns the most up-to-date data, while an Eventually Consistent Read might return slightly stale data but has higher throughput."
